;,CEC Nonresidential ACM Ruleset,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,,,,,
;,,BaseVerticalFenPerf,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,,,,,,,
;,,10/4/2012,D. Reddy,Initial ruleset setup,,,,,,,,,,,,,
;,,10/21/2012,D. Reddy,"Consolidated to have one table for NRes, Res, and RelocClass.  Add Warning codes",,,,,,,,,,,,,
;,,11/4/2012,L. Hovee,Updated to Reflect Standards Table format,,,,,,,,,,,,,
;,,44526,J. Peng,Updated to 2022,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,STANDARDS/ACM REFERENCE(S):,,,,,,,,,,,,,,,,
;,,TABLE 140.3-B - PRESCRIPTIVE ENVELOPE CRITERIA FOR NONRESIDENTIAL BUILDINGS (vertical fenestration),,,,,,,,,,,,,,,
;,,TABLE 140.3-C - PRESCRIPTIVE ENVELOPE CRITERIA FOR HIGH-RISE RESIDENTIAL BUILDINGS AND GUEST ROOMS OF HOTEL/MOTEL BUILDINGS (vertical fenestration),,,,,,,,,,,,,,,
;,,TABLE 140.3-D - PRESCRIPTIVE ENVELOPE CRITERIA FOR RELOCATABLE PUBLIC SCHOOL BUILDINGS FOR USE IN ALL CLIMATE ZONES (vertical fenestration),,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,NOTES:,,,,,,,,,,,,,,,,
;,,Maximum 'Window to Wall Ratio' (WWR%) is 40%.,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,SYNTAX EXAMPLES:,,,,,,,,,,,,,,,,
;,,TO DO: Review SDD terms and update independent values and syntax examples as necessary.,,,,,,,,,,,,,,,
;,,BaseNonResVertFenPerf.UFactor(ProductType=u.ProductType),,,,,,,,,,,,,,,
;,,BaseNonResVertFenPerf.SHGC(ProductType=u.ProductType),,,,,,,,,,,,,,,
;,,BaseNonResVertFenPerf.VT(ProductType=u.ProductType),,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,,,,,,
,TABLE BaseVerticalFenPerformance,,,,,,,,,,,,,,,,
,,EnergyCodeYear,ClimateZone,OccupancyClass,UFactor,SHGC,VT,UFactor,SHGC,VT,UFactor,SHGC,VT,UFactor,SHGC,VT,
,,ProductType=,,,FixedWindow,FixedWindow,FixedWindow,OperableWindow,OperableWindow,OperableWindow,CurtainWall,CurtainWall,CurtainWall,GlazedDoor,GlazedDoor,GlazedDoor,
,,2022,1,Other,0.36,0.25,0.42,0.46,0.22,0.32,0.38,0.25,0.46,0.45,0.23,0.17,
,,2022,2,Other,0.36,0.25,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,3,Other,0.36,0.25,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,4,Other,0.36,0.25,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,5,Other,0.36,0.25,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,6,Other,0.36,0.25,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,7,Other,0.36,0.25,0.42,0.46,0.22,0.32,0.38,0.25,0.46,0.45,0.23,0.17,
,,2022,8,Other,0.36,0.25,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,9,Other,0.34,0.22,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,10,Other,0.36,0.25,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,11,Other,0.34,0.22,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,12,Other,0.34,0.22,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,13,Other,0.34,0.22,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,14,Other,0.34,0.22,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,15,Other,0.34,0.22,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,16,Other,0.36,0.25,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,*,GuestRm,0.36,0.25,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,
,,2022,*,RelocClass,0.47,0.26,999,0.47,0.26,999,0.47,0.26,999,0.45,0.23,999,
,,*,*,Other,0.36,0.25,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,"; EnergyCodeYear = 2013, 2016, 2019"
,,*,*,RelocClass,0.47,0.26,999,0.47,0.26,999,0.47,0.26,999,0.45,0.23,999,"; EnergyCodeYear = 2013, 2016, 2019"
,ENDTABLE,,,,,,,,,,,,,,,,
;,,999 = No Requirement - Will be set equal to proposed design,,,,,,,,,,,,,,,
